¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
À(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.28455
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.27547
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.61337
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.25235
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.69904
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.69954
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.70446
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.938192
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.118032
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.312623
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.523714
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.753442
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.455314
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.742179
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.057161
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.405236
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.804778
