¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¨(398.80, 14.24, 245.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.85015
(398.80, 14.24, 245.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.93194
(398.80, 14.24, 245.40) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.60549
(398.80, 14.24, 245.40) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.59058
(398.80, 14.24, 245.40) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.57796
(398.80, 14.24, 245.40) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.56763
(398.80, 14.24, 245.40) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.69221
(398.80, 14.24, 245.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.107403
(398.80, 14.24, 245.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.293481
(398.80, 14.24, 245.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.494745
(398.80, 14.24, 245.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.71339
(398.80, 14.24, 245.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.950824
(398.80, 14.24, 245.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.210111
(398.80, 14.24, 245.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.971938
(398.80, 14.24, 245.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.310921
(398.80, 14.24, 245.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.686138
(398.80, 14.24, 245.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.099466
(398.80, 14.24, 245.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.546188
(398.80, 14.24, 245.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.06569
(398.80, 14.24, 245.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.654418
