¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ì(399.26, 14.28, 244.36) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 15.07708
(399.26, 14.28, 244.36) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.13436
(399.26, 14.28, 244.36) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.13263
(399.26, 14.28, 244.36) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.13346
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.966608
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.140902
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.329567
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.533786
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.754855
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.995102
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.257556
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.540284
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.853433
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.202338
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.587949
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.005931
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.474433
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.00386
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.605044
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.29369
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.90493
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.90048
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.09416
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.49851
(399.26, 14.28, 244.36) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.38297
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.35331
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.41576
(399.26, 14.28, 244.36) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.76456
(399.26, 14.28, 244.36) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.186
(399.26, 14.28, 244.36) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.18425
(399.26, 14.28, 244.36) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.18507
