¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
×(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.920901
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.228253
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.56572
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.9379
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.350253
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.809657
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.307102
(401.94, 14.18, 244.08) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 9.336971
(401.94, 14.18, 244.08) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 9.199057
(401.94, 14.18, 244.08) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 9.172961
(401.94, 14.18, 244.08) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 9.148793
(401.94, 14.18, 244.08) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 9.126524
(401.94, 14.18, 244.08) (391.40, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 11.40421
(401.94, 14.18, 244.08) (391.40, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 12.6642
(401.94, 14.18, 244.08) (392.05, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 13.75422
(401.94, 14.18, 244.08) (392.05, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 13.74429
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.45004
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.49191
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.38253
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.2966
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.37237
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.61659
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.150431
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.388443
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.646921
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.928614
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.236704
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.575032
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.948165
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.361654
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.82238
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.327635
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.869506
(401.94, 14.18, 244.08) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 9.272783
(401.94, 14.18, 244.08) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 9.246464
(401.94, 14.18, 244.08) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 9.222089
(401.94, 14.18, 244.08) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 9.199629
(401.94, 14.18, 244.08) (391.40, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 11.90149
(401.94, 14.18, 244.08) (391.40, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 12.10849
(401.94, 14.18, 244.08) (392.05, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 13.04911
(401.94, 14.18, 244.08) (392.05, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 14.5036
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.49623
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.54388
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.44577
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.26277
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.33876
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.5105
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.156497
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.394983
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.654033
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.936362
é(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.245218
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.584412
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.958499
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.373177
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.835222
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 8.293756
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 8.268676
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 8.245349
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 8.223751
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 8.247439
(401.94, 14.18, 244.08) (391.40, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 11.51602
(401.94, 14.18, 244.08) (391.40, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 11.49102
(401.94, 14.18, 244.08) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 10.5739
(401.94, 14.18, 244.08) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 10.5559
(401.94, 14.18, 244.08) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 10.54001
(401.94, 14.18, 244.08) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 10.97826
(401.94, 14.18, 244.08) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 12.06046
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.51257
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.30868
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.30897
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.16256
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.401556
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.661203
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.944201
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.253786
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.593825
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.968942
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.384783
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 8.27117
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 8.244468
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 8.219534
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 8.196343
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 8.424042
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 8.489165
(401.94, 14.18, 244.08) (392.05, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 12.10876
(401.94, 14.18, 244.08) (392.05, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 11.86851
(401.94, 14.18, 244.08) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 10.5667
(401.94, 14.18, 244.08) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 10.54871
(401.94, 14.18, 244.08) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 10.59534
