¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
î(407.69, 14.22, 243.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 12.72071
(407.69, 14.22, 243.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 12.69313
(407.69, 14.22, 243.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 12.66813
(407.69, 14.22, 243.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 12.6457
(407.69, 14.22, 243.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 12.6258
(407.69, 14.22, 243.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 12.60841
(407.69, 14.22, 243.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 12.59353
(407.69, 14.22, 243.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 13.23813
(407.69, 14.22, 243.10) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 13.97713
(407.69, 14.22, 243.10) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 13.96883
(407.69, 14.22, 243.10) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 13.96326
(407.69, 14.22, 243.10) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 13.96042
(407.69, 14.22, 243.10) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 13.9603
(407.69, 14.22, 243.10) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 13.9629
(407.69, 14.22, 243.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.398452
(407.69, 14.22, 243.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.647214
(407.69, 14.22, 243.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.917465
(407.69, 14.22, 243.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.212152
(407.69, 14.22, 243.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.534537
(407.69, 14.22, 243.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.888731
(407.69, 14.22, 243.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.279558
(407.69, 14.22, 243.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.712916
(407.69, 14.22, 243.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.196028
(407.69, 14.22, 243.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.734231
(407.69, 14.22, 243.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2934
(407.69, 14.22, 243.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87287
(407.69, 14.22, 243.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.56087
(407.69, 14.22, 243.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.38349
(407.69, 14.22, 243.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 12.7433
(407.69, 14.22, 243.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 12.71567
(407.69, 14.22, 243.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 12.69063
(407.69, 14.22, 243.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 12.66815
(407.69, 14.22, 243.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 12.64821
(407.69, 14.22, 243.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 12.6308
(407.69, 14.22, 243.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 12.61588
(407.69, 14.22, 243.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 13.21065
(407.69, 14.22, 243.10) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 14.00193
(407.69, 14.22, 243.10) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 13.99362
(407.69, 14.22, 243.10) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 13.98804
(407.69, 14.22, 243.10) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 13.98519
(407.69, 14.22, 243.10) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 13.98507
(407.69, 14.22, 243.10) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 13.98767
(407.69, 14.22, 243.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.396183
(407.69, 14.22, 243.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.644734
(407.69, 14.22, 243.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.914777
(407.69, 14.22, 243.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.209181
(407.69, 14.22, 243.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.531328
(407.69, 14.22, 243.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.885186
(407.69, 14.22, 243.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.275616
(407.69, 14.22, 243.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.708562
(407.69, 14.22, 243.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.191166
Ş(407.69, 14.22, 243.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.724537
(407.69, 14.22, 243.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.28559
(407.69, 14.22, 243.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86415
(407.69, 14.22, 243.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57659
(407.69, 14.22, 243.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.40245
(407.69, 14.22, 243.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 12.76848
(407.69, 14.22, 243.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 12.74079
(407.69, 14.22, 243.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 12.71569
(407.69, 14.22, 243.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 12.69317
(407.69, 14.22, 243.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 12.67319
(407.69, 14.22, 243.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 12.65574
(407.69, 14.22, 243.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 12.64079
(407.69, 14.22, 243.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 13.18364
(407.69, 14.22, 243.10) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 16.79436
(407.69, 14.22, 243.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.393939
(407.69, 14.22, 243.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.642298
(407.69, 14.22, 243.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.912133
(407.69, 14.22, 243.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.206306
(407.69, 14.22, 243.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.528157
