¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ÿ(420.49, 14.85, 249.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.207098
(420.49, 14.85, 249.20) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 7.514327
(420.49, 14.85, 249.20) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 7.497125
(420.49, 14.85, 249.20) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 7.48146
(420.49, 14.85, 249.20) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 7.46731
(420.49, 14.85, 249.20) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 7.454667
(420.49, 14.85, 249.20) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 7.443513
(420.49, 14.85, 249.20) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 7.43384
(420.49, 14.85, 249.20) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 7.425639
(420.49, 14.85, 249.20) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 7.418899
(420.49, 14.85, 249.20) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 7.413617
(420.49, 14.85, 249.20) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 7.409784
(420.49, 14.85, 249.20) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 7.407399
(420.49, 14.85, 249.20) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 7.40646
(420.49, 14.85, 249.20) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 8.192887
(420.49, 14.85, 249.20) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 14.5732
(420.49, 14.85, 249.20) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 14.54082
(420.49, 14.85, 249.20) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 14.5114
(420.49, 14.85, 249.20) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 15.61118
(420.49, 14.85, 249.20) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 15.72307
(420.49, 14.85, 249.20) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 16.03275
(420.49, 14.85, 249.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.893017
(420.49, 14.85, 249.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.114401
(420.49, 14.85, 249.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.354345
(420.49, 14.85, 249.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.61375
(420.49, 14.85, 249.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.896646
(420.49, 14.85, 249.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.208856
(420.49, 14.85, 249.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.552141
(420.49, 14.85, 249.20) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 7.593247
(420.49, 14.85, 249.20) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 7.577514
(420.49, 14.85, 249.20) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 7.563318
(420.49, 14.85, 249.20) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 7.550645
(420.49, 14.85, 249.20) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 7.539481
(420.49, 14.85, 249.20) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 7.529815
(420.49, 14.85, 249.20) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 7.52164
(420.49, 14.85, 249.20) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 7.514946
(420.49, 14.85, 249.20) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 7.509726
(420.49, 14.85, 249.20) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 7.505975
(420.49, 14.85, 249.20) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 7.503691
(420.49, 14.85, 249.20) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 7.50287
(420.49, 14.85, 249.20) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 8.045682
(420.49, 14.85, 249.20) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 14.25241
(420.49, 14.85, 249.20) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 14.23435
(420.49, 14.85, 249.20) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 14.2191
(420.49, 14.85, 249.20) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 14.9538
(420.49, 14.85, 249.20) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 15.05626
(420.49, 14.85, 249.20) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 15.41347
(420.49, 14.85, 249.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.891365
(420.49, 14.85, 249.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.11261
(420.49, 14.85, 249.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.352417
(420.49, 14.85, 249.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.613142
ˆ (420.49, 14.85, 249.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.896818
(420.49, 14.85, 249.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.20743
(420.49, 14.85, 249.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.548875
(420.49, 14.85, 249.20) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 7.693348
(420.49, 14.85, 249.20) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 7.67755
