¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ş(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 10.90363
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.173791
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.391848
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.625089
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.896615
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.271799
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.686198
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.17473
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.803646
(423.87, 14.62, 253.70) (410.45, 7.73, 233.40) (1.88, 1.40, 1.43) Tools 11.03003
(423.87, 14.62, 253.70) (410.45, 7.73, 233.40) (1.88, 1.40, 1.43) Tools 11.09058
(423.87, 14.62, 253.70) (410.45, 7.73, 233.40) (1.88, 1.40, 1.43) Tools 11.15398
(423.87, 14.62, 253.70) (410.45, 7.73, 233.40) (1.88, 1.40, 1.43) Tools 11.22032
(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 10.02266
(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 10.53652
(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 10.975
(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 11.0589
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.195026
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.41449
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.649315
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.931609
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.310372
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.728925
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.212981
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.88076
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.15211
(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 9.994721
(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 10.50104
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.199736
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.437587
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.674017
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.966882
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.349271
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.772033
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.251273
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.957067
(423.87, 14.62, 253.70) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 12.02717
(423.87, 14.62, 253.70) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 11.9907
(423.87, 14.62, 253.70) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 11.95677
(423.87, 14.62, 253.70) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 11.92535
(423.87, 14.62, 253.70) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 11.89641
(423.87, 14.62, 253.70) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 11.86992
(423.87, 14.62, 253.70) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 11.84585
(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 9.968873
(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 10.46524
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.203456
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.461135
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.699207
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.002408
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.388473
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.815486
÷(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.290195
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03247
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.59001
(423.87, 14.62, 253.70) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 11.91465
(423.87, 14.62, 253.70) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 11.88092
(423.87, 14.62, 253.70) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 11.84968
(423.87, 14.62, 253.70) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 11.82091
(423.87, 14.62, 253.70) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 11.79457
(423.87, 14.62, 253.70) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 11.77063
(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 9.945086
(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 10.42911
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.20719
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.485123
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.72487
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.038191
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.427968
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.859307
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.339068
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10688
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45712
(423.87, 14.62, 253.70) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 11.84185
(423.87, 14.62, 253.70) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 11.80831
(423.87, 14.62, 253.70) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 11.77724
(423.87, 14.62, 253.70) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 11.74863
(423.87, 14.62, 253.70) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 11.72243
(423.87, 14.62, 253.70) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 11.69863
(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 9.923339
(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 10.39268
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.210993
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.491453
(423.87, 14.62, 253.70) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 7.492421
(423.87, 14.62, 253.70) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 7.461139
(423.87, 14.62, 253.70) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 7.431561
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.903461
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.388364
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18021
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.55179
(423.87, 14.62, 253.70) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 11.7722
(423.87, 14.62, 253.70) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 11.73884
(423.87, 14.62, 253.70) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 11.70795
(423.87, 14.62, 253.70) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 11.67949
(423.87, 14.62, 253.70) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 11.65343
(423.87, 14.62, 253.70) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 11.62975
(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 9.903604
(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 10.35596
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.214828
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.495599
(423.87, 14.62, 253.70) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 7.47906
(423.87, 14.62, 253.70) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 7.447831
(423.87, 14.62, 253.70) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 7.418299
(423.87, 14.62, 253.70) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 7.390437
“ (423.87, 14.62, 253.70) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 7.364213
(423.87, 14.62, 253.70) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 7.339602
(423.87, 14.62, 253.70) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 7.316575
(423.87, 14.62, 253.70) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 7.295108
(423.87, 14.62, 253.70) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 7.275184
(423.87, 14.62, 253.70) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 7.256778
(423.87, 14.62, 253.70) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 7.390535
(423.87, 14.62, 253.70) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 11.58747
(423.87, 14.62, 253.70) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 11.56391
(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 9.885865
(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 10.31896
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.218693
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.499787
(423.87, 14.62, 253.70) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 7.467188
(423.87, 14.62, 253.70) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 7.436003
(423.87, 14.62, 253.70) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 7.406516
(423.87, 14.62, 253.70) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 7.378693
(423.87, 14.62, 253.70) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 7.352507
(423.87, 14.62, 253.70) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 7.32793
(423.87, 14.62, 253.70) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 7.3108
(423.87, 14.62, 253.70) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 7.314268
(423.87, 14.62, 253.70) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 7.319166
(423.87, 14.62, 253.70) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 7.325499
(423.87, 14.62, 253.70) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 7.373528
(423.87, 14.62, 253.70) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 8.094051
(423.87, 14.62, 253.70) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 11.50104
(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 9.870107
(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 10.28171
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.222602
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.504985
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.815583
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.159003
(423.87, 14.62, 253.70) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 8.315955
(423.87, 14.62, 253.70) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 8.317766
(423.87, 14.62, 253.70) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 8.321201
(423.87, 14.62, 253.70) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 8.326264
(423.87, 14.62, 253.70) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 8.332958
(423.87, 14.62, 253.70) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 8.341291
(423.87, 14.62, 253.70) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 8.35127
(423.87, 14.62, 253.70) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 8.362905
(423.87, 14.62, 253.70) (410.71, 7.73, 234.72) (1.88, 1.40, 1.43) Tools 8.540554
(423.87, 14.62, 253.70) (410.71, 7.73, 234.72) (1.88, 1.40, 1.43) Tools 8.522353
(423.87, 14.62, 253.70) (410.71, 7.73, 234.72) (1.88, 1.40, 1.43) Tools 8.947057
(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 9.856306
(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 9.841157
(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 9.827967
(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 9.816724
(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 9.807416
(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 9.800035
(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 9.794572
(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 9.791023
ü(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 9.789384
(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 9.789654
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.236239
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.523201
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.835432
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.160208
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.55027
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.981332
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.460097
(423.87, 14.62, 253.70) (410.71, 7.73, 234.72) (1.88, 1.40, 1.43) Tools 9.674925
(423.87, 14.62, 253.70) (410.71, 7.73, 234.72) (1.88, 1.40, 1.43) Tools 9.689442
(423.87, 14.62, 253.70) (410.71, 7.73, 234.72) (1.88, 1.40, 1.43) Tools 9.705901
(423.87, 14.62, 253.70) (410.45, 7.73, 233.40) (1.88, 1.40, 1.43) Tools 9.950088
(423.87, 14.62, 253.70) (410.45, 7.73, 233.40) (1.88, 1.40, 1.43) Tools 9.924901
(423.87, 14.62, 253.70) (410.45, 7.73, 233.40) (1.88, 1.40, 1.43) Tools 9.901767
(423.87, 14.62, 253.70) (410.45, 7.73, 233.40) (1.88, 1.40, 1.43) Tools 9.880662
(423.87, 14.62, 253.70) (410.45, 7.73, 233.40) (1.88, 1.40, 1.43) Tools 9.861564
(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 9.846786
(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 9.877388
(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 9.91012
(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 9.945014
(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 9.982108
(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 10.02144
(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 10.06305
(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 10.10699
(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 10.15331
(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 10.20204
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.253095
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.541507
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.8554
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.164115
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.551539
(423.87, 14.62, 253.70) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 8.781909
(423.87, 14.62, 253.70) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 8.750732
(423.87, 14.62, 253.70) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 8.721471
(423.87, 14.62, 253.70) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 8.694094
(423.87, 14.62, 253.70) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 8.668572
(423.87, 14.62, 253.70) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 8.644881
(423.87, 14.62, 253.70) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 8.622995
(423.87, 14.62, 253.70) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 8.602892
(423.87, 14.62, 253.70) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 8.584553
(423.87, 14.62, 253.70) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 8.895441
(423.87, 14.62, 253.70) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 12.93123
(423.87, 14.62, 253.70) (408.61, 9.12, 233.68) (1.88, 1.40, 1.43) Tools 9.848139
(423.87, 14.62, 253.70) (408.61, 9.12, 233.68) (1.88, 1.40, 1.43) Tools 9.850324
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.270039
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.55993
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.875487
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.185279
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.552762
(423.87, 14.62, 253.70) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 8.774802
€ (423.87, 14.62, 253.70) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 8.743649
(423.87, 14.62, 253.70) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 8.714409
(423.87, 14.62, 253.70) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 8.687051
(423.87, 14.62, 253.70) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 8.661549
(423.87, 14.62, 253.70) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 8.637874
(423.87, 14.62, 253.70) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 8.642217
