¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Å(429.27, 14.85, 251.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.937
(429.27, 14.85, 251.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.76321
(429.27, 14.85, 251.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.71129
(429.27, 14.85, 251.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.8284
(429.27, 14.85, 251.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.08353
(429.27, 14.85, 251.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.66508
(429.27, 14.85, 251.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.55231
(429.27, 14.85, 251.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.57242
(429.27, 14.85, 251.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.359518
(429.27, 14.85, 251.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.631495
(429.27, 14.85, 251.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.936317
(429.27, 14.85, 251.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.266802
(429.27, 14.85, 251.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.632863
(429.27, 14.85, 251.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.039106
(429.27, 14.85, 251.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.489558
(429.27, 14.85, 251.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.990801
(429.27, 14.85, 251.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.560861
(429.27, 14.85, 251.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.17803
(429.27, 14.85, 251.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.9038
(429.27, 14.85, 251.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.72081
(429.27, 14.85, 251.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.66283
(429.27, 14.85, 251.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.76997
