¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ö(427.92, 15.05, 249.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.67698
(427.92, 15.05, 249.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.983672
(427.92, 15.05, 249.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.227552
(427.92, 15.05, 249.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.493451
(427.92, 15.05, 249.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.506944
(427.92, 15.05, 249.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.62044
(427.92, 15.05, 249.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.951208
(427.92, 15.05, 249.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.315138
(427.92, 15.05, 249.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.722687
(427.92, 15.05, 249.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.165096
(427.92, 15.05, 249.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.664561
(427.92, 15.05, 249.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.21609
(427.92, 15.05, 249.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.832215
(427.92, 15.05, 249.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.54772
(427.92, 15.05, 249.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.37551
(427.92, 15.05, 249.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.35253
(427.92, 15.05, 249.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.49129
(427.92, 15.05, 249.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.82942
(427.92, 15.05, 249.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.50272
(427.92, 15.05, 249.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.57502
(427.92, 15.05, 249.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.9241
(427.92, 15.05, 249.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.976574
(427.92, 15.05, 249.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.219828
(427.92, 15.05, 249.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.485056
