¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ÿ(427.25, 14.96, 249.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.996778
(427.25, 14.96, 249.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.74694
(427.25, 14.96, 249.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44422
(427.25, 14.96, 249.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.54628
(427.25, 14.96, 249.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.84851
(427.25, 14.96, 249.11) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 15.623
(427.25, 14.96, 249.11) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 15.62177
(427.25, 14.96, 249.11) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 15.62357
(427.25, 14.96, 249.11) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 15.62843
(427.25, 14.96, 249.11) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 15.63634
(427.25, 14.96, 249.11) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 15.64731
(427.25, 14.96, 249.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.625777
(427.25, 14.96, 249.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.85742
(427.25, 14.96, 249.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.105537
(427.25, 14.96, 249.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.378712
(427.25, 14.96, 249.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.681025
(427.25, 14.96, 249.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.014853
(427.25, 14.96, 249.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.376816
