¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ñ(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.945616
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.179137
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.431418
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.688971
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.969422
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.307866
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.723658
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.161966
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.596048
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.100901
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.61622
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35094
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30482
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.19083
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.36142
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.69478
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.4311
(422.90, 14.77, 249.61) (394.59, 7.20, 263.75) (3.47, 0.55, 2.78) Tools 16.53946
(422.90, 14.77, 249.61) (394.59, 7.20, 263.75) (3.47, 0.55, 2.78) Tools 16.51423
(422.90, 14.77, 249.61) (392.05, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 19.02587
(422.90, 14.77, 249.61) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 19.14156
(422.90, 14.77, 249.61) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 19.03679
(422.90, 14.77, 249.61) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 21.49734
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.719793
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.926741
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.15866
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.410796
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.671018
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.949837
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.28417
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.697081
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.109812
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.527609
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.058502
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.568754
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.28102
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14396
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.13573
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.28695
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.70025
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.38811
(422.90, 14.77, 249.61) (394.59, 7.20, 263.75) (3.47, 0.55, 2.78) Tools 16.48281
(422.90, 14.77, 249.61) (394.59, 7.20, 263.75) (3.47, 0.55, 2.78) Tools 16.45768
(422.90, 14.77, 249.61) (392.05, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 19.24402
(422.90, 14.77, 249.61) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 19.23912
(422.90, 14.77, 249.61) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 19.13369
(422.90, 14.77, 249.61) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 21.97561
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.703141
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.908055
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.138411
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.388723
Ï(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.653289
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.930533
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.260525
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.670596
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.058617
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.460224
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.016813
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.522118
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21178
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.0327
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.08144
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.21322
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.70588
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.39512
(422.90, 14.77, 249.61) (394.59, 7.20, 263.75) (3.47, 0.55, 2.78) Tools 16.42974
(422.90, 14.77, 249.61) (394.59, 7.20, 263.75) (3.47, 0.55, 2.78) Tools 16.4047
(422.90, 14.77, 249.61) (392.05, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 19.47108
(422.90, 14.77, 249.61) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 19.34156
(422.90, 14.77, 249.61) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 19.23536
(422.90, 14.77, 249.61) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 21.9968
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.686677
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.889541
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.118297
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.366877
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.635812
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.91152
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.237001
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.644239
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.008316
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.401872
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.943825
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.476274
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14329
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.9241
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.02793
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.14022
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.71172
(422.90, 14.77, 249.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.40243
(422.90, 14.77, 249.61) (394.59, 7.20, 263.75) (3.47, 0.55, 2.78) Tools 16.38019
(422.90, 14.77, 249.61) (394.59, 7.20, 263.75) (3.47, 0.55, 2.78) Tools 16.35525
(422.90, 14.77, 249.61) (394.08, 7.90, 265.47) (2.11, 0.84, 3.83) Tools 16.3313
(422.90, 14.77, 249.61) (394.08, 7.90, 265.47) (2.11, 0.84, 3.83) Tools 16.30173
(422.90, 14.77, 249.61) (394.08, 7.90, 265.47) (2.11, 0.84, 3.83) Tools 16.43648
(422.90, 14.77, 249.61) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 22.02234
