°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
à(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.51575
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.60382
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.9255
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.69347
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.882
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.11157
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.28745
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.500751
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.712391
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.943128
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.194545
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.469492
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.77136
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.100479
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.462544
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.865136
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.315356
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.822073
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05916
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.76627
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.58277
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.51874
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.59758
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.90346
(424.47, 14.79, 250.97) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 15.16742
(424.47, 14.79, 250.97) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 15.12748
(424.47, 14.79, 250.97) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 15.09068
(424.47, 14.79, 250.97) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 15.05699
(424.47, 14.79, 250.97) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 15.02636
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.502029
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.714663
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.945598
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.19724
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.472446
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.772457
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.099684
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.461664
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.864154
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.314255
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.820831
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05288
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.75909
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57441
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.52198
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.59171
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.8816
(424.47, 14.79, 250.97) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 15.16772
(424.47, 14.79, 250.97) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 15.1364
(424.47, 14.79, 250.97) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 15.10814
(424.47, 14.79, 250.97) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 15.08293
(424.47, 14.79, 250.97) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 15.06073
Û(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.504158
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.716971
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.948108
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.19998
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.47468
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.771806
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.098964
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.460866
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.863265
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.313257
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.822943
(424.47, 14.79, 250.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04675
