¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
„ (405.39, 13.97, 247.97) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.792634
(405.39, 13.97, 247.97) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.78592
(405.39, 13.97, 247.97) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.780732
(405.39, 13.97, 247.97) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.777067
(405.39, 13.97, 247.97) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.774921
(405.39, 13.97, 247.97) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.774291
(405.39, 13.97, 247.97) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.775176
(405.39, 13.97, 247.97) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.777577
(405.39, 13.97, 247.97) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.781498
(405.39, 13.97, 247.97) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.786942
(405.39, 13.97, 247.97) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.793914
(405.39, 13.97, 247.97) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.802421
(405.39, 13.97, 247.97) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 9.819536
(405.39, 13.97, 247.97) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 9.818551
(405.39, 13.97, 247.97) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 9.81948
(405.39, 13.97, 247.97) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 9.822325
(405.39, 13.97, 247.97) (376.26, 10.04, 248.30) (1.37, 1.29, 1.39) Tools 14.02128
(405.39, 13.97, 247.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.893227
(405.39, 13.97, 247.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.181221
(405.39, 13.97, 247.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.476861
(405.39, 13.97, 247.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.789786
(405.39, 13.97, 247.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.131713
(405.39, 13.97, 247.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.506745
(405.39, 13.97, 247.97) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.243028
(405.39, 13.97, 247.97) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.228582
(405.39, 13.97, 247.97) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.215787
(405.39, 13.97, 247.97) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.204629
(405.39, 13.97, 247.97) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.195096
(405.39, 13.97, 247.97) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.187181
(405.39, 13.97, 247.97) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.180873
(405.39, 13.97, 247.97) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.176167
(405.39, 13.97, 247.97) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.17306
(405.39, 13.97, 247.97) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.171548
(405.39, 13.97, 247.97) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.171629
(405.39, 13.97, 247.97) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.173303
(405.39, 13.97, 247.97) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.176573
(405.39, 13.97, 247.97) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.18144
(405.39, 13.97, 247.97) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.18791
(405.39, 13.97, 247.97) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.195991
(405.39, 13.97, 247.97) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.205687
(405.39, 13.97, 247.97) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 9.78897
(405.39, 13.97, 247.97) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 9.787983
(405.39, 13.97, 247.97) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 9.788903
(405.39, 13.97, 247.97) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 9.791735
(405.39, 13.97, 247.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.881757
(405.39, 13.97, 247.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.168705
(405.39, 13.97, 247.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.462452
(405.39, 13.97, 247.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.774062
(405.39, 13.97, 247.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.114493
(405.39, 13.97, 247.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.487801
(405.39, 13.97, 247.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.909039
† (405.39, 13.97, 247.97) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.665627
(405.39, 13.97, 247.97) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.653038
